action,block_minStateId,block_maxStateId,block_name,score,num
jump,-1,-1,unknown,0.0,0
sneak,-1,-1,unknown,0.0,0
offset,-1,-1,unknown,33.57601091202479,73
place,-1,-1,unknown,18.89967001129604,1
walk_W,-1,-1,unknown,0.0,0
sprint_W,-1,-1,unknown,1.6849896107002034,1
walk_WA,-1,-1,unknown,1.099099818362793,1
sprint_WA,-1,-1,unknown,0.0,0
walk_A,-1,-1,unknown,0.0,0
sprint_A,-1,-1,unknown,0.0,0
walk_AS,-1,-1,unknown,0.0,0
sprint_AS,-1,-1,unknown,0.0,0
walk_S,-1,-1,unknown,2.882957180557585,1
sprint_S,-1,-1,unknown,0.0,0
walk_SD,-1,-1,unknown,2.1878279387857376,1
sprint_SD,-1,-1,unknown,0.0,0
walk_D,-1,-1,unknown,-8.0,1
sprint_D,-1,-1,unknown,0.0,0
walk_DW,-1,-1,unknown,0.0,0
sprint_DW,-1,-1,unknown,0.0,0
break_U,-1,-1,unknown,0.0,0
break_UF,-1,-1,unknown,0.0,0
break_F,-1,-1,unknown,0.0,0
break_DF,-1,-1,unknown,36.85324624269857,66
break_D,-1,-1,unknown,0.0,0
jump,0,0,air,0.0,0
sneak,0,0,air,0.0,0
offset,0,0,air,5.807701961597225,464
place,0,0,air,0.0,0
walk_W,0,0,air,0.0,0
sprint_W,0,0,air,0.0,0
walk_WA,0,0,air,0.0,0
sprint_WA,0,0,air,0.0,0
walk_A,0,0,air,0.0,0
sprint_A,0,0,air,0.0,0
walk_AS,0,0,air,0.0,0
sprint_AS,0,0,air,0.0,0
walk_S,0,0,air,0.0,0
sprint_S,0,0,air,0.0,0
walk_SD,0,0,air,0.0,0
sprint_SD,0,0,air,0.0,0
walk_D,0,0,air,0.0,0
sprint_D,0,0,air,0.0,0
walk_DW,0,0,air,0.0,0
sprint_DW,0,0,air,0.0,0
break_U,0,0,air,0.0,0
break_UF,0,0,air,0.0,0
break_F,0,0,air,0.0,0
break_DF,0,0,air,0.0,0
break_D,0,0,air,0.0,0
jump,1,1,stone,-0.1704285690118148,24
sneak,1,1,stone,-0.9930088407382434,10
offset,1,1,stone,0.33706247436639897,1082
place,1,1,stone,-4.193968752965155,134
walk_W,1,1,stone,-1.0633333333333335,9
sprint_W,1,1,stone,-0.907907485713338,12
walk_WA,1,1,stone,0.6192484711461577,21
sprint_WA,1,1,stone,0.34818712398719,18
walk_A,1,1,stone,2.2285009734438908,14
sprint_A,1,1,stone,0.9599136290771716,27
walk_AS,1,1,stone,2.177388464138473,14
sprint_AS,1,1,stone,2.0114959532323735,18
walk_S,1,1,stone,1.677556972692915,29
sprint_S,1,1,stone,1.7134133665291287,21
walk_SD,1,1,stone,2.5541739815463833,581
sprint_SD,1,1,stone,2.0170248243955213,21
walk_D,1,1,stone,1.003316581170389,14
sprint_D,1,1,stone,1.7201754982130883,19
walk_DW,1,1,stone,0.024672578117299775,26
sprint_DW,1,1,stone,1.394084438163045,25
break_U,1,1,stone,1.5372859784496415,40
break_UF,1,1,stone,1.1681720935010127,50
break_F,1,1,stone,0.8999478377855308,36
break_DF,1,1,stone,0.8631613434423561,51
break_D,1,1,stone,3.247890010614109,68
jump,2,2,granite,-0.07,1
sneak,2,2,granite,0.10178463981218275,3
offset,2,2,granite,3.5124466997901913,125
